,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
NOT OUT %,72.72 %,nitesh-kumar,,,,,100 %,85.71 %,0,U.P. Yoddha
TOTAL RAIDS,11,nitesh-kumar,,,,,2,7,2,U.P. Yoddha
SUCCESSFUL RAIDS %,18.18,nitesh-kumar,,,,,0,14.28,50,U.P. Yoddha
NO OF SUPER RAIDS,0,nitesh-kumar,,,,,0,0,0,U.P. Yoddha
SUPER 10S,0,nitesh-kumar,,,,,0,0,0,U.P. Yoddha
TOTAL RAID POINTS,2,nitesh-kumar,,,,,0,1,1,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0.03,nitesh-kumar,,,,,0,0.04,0.05,U.P. Yoddha
NO OF SUPER TACKLES,14,nitesh-kumar,,,,,1,8,5,U.P. Yoddha
HIGH 5S,14,nitesh-kumar,,,,,4,8,2,U.P. Yoddha
TOTAL TACKLE POINTS,190,nitesh-kumar,,,,,47,100,43,U.P. Yoddha
AVERAGE TACKLE / MATCH,2.88,nitesh-kumar,,,,,2.42,3.68,2.23,U.P. Yoddha
TOTAL TACKLES,320,nitesh-kumar,,,,,91,154,75,U.P. Yoddha
TACKLE STRIKE RATE,59.37 %,nitesh-kumar,,,,,51.64 %,64.93 %,57.33 %,U.P. Yoddha
MATCHES PLAYED,3,ankush,,,,,,,3,U.P. Yoddha
TOTAL POINTS EARNED,7,ankush,,,,,,,7,U.P. Yoddha
MOST POINTS IN A MATCH,4,ankush,,,,,,,4,U.P. Yoddha
NOT OUT %,66.66 %,ankush,,,,,,,66.66 %,U.P. Yoddha
TOTAL RAIDS,6,ankush,,,,,,,6,U.P. Yoddha
SUCCESSFUL RAIDS %,100,ankush,,,,,,,100,U.P. Yoddha
NO OF SUPER RAIDS,0,ankush,,,,,,,0,U.P. Yoddha
SUPER 10S,0,ankush,,,,,,,0,U.P. Yoddha
TOTAL RAID POINTS,6,ankush,,,,,,,6,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,2,ankush,,,,,,,2,U.P. Yoddha
NO OF SUPER TACKLES,0,ankush,,,,,,,0,U.P. Yoddha
HIGH 5S,0,ankush,,,,,,,0,U.P. Yoddha
TOTAL TACKLE POINTS,1,ankush,,,,,,,1,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.33,ankush,,,,,,,0.33,U.P. Yoddha
TOTAL TACKLES,1,ankush,,,,,,,1,U.P. Yoddha
TACKLE STRIKE RATE,100 %,ankush,,,,,,,100 %,U.P. Yoddha
MATCHES PLAYED,13,azad-singh,,,,,,9,4,U.P. Yoddha
TOTAL POINTS EARNED,29,azad-singh,,,,,,23,6,U.P. Yoddha
MOST POINTS IN A MATCH,8,azad-singh,,,,,,8,3,U.P. Yoddha
NOT OUT %,67.56 %,azad-singh,,,,,,68.75 %,65.38 %,U.P. Yoddha
TOTAL RAIDS,74,azad-singh,,,,,,48,26,U.P. Yoddha
SUCCESSFUL RAIDS %,36.48,azad-singh,,,,,,43.75,23.07,U.P. Yoddha
NO OF SUPER RAIDS,1,azad-singh,,,,,,1,0,U.P. Yoddha
SUPER 10S,0,azad-singh,,,,,,0,0,U.P. Yoddha
TOTAL RAID POINTS,27,azad-singh,,,,,,21,6,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,2.07,azad-singh,,,,,,2.33,1.5,U.P. Yoddha
NO OF SUPER TACKLES,0,azad-singh,,,,,,0,0,U.P. Yoddha
HIGH 5S,0,azad-singh,,,,,,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,2,azad-singh,,,,,,2,0,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.15,azad-singh,,,,,,0.22,0,U.P. Yoddha
TOTAL TACKLES,6,azad-singh,,,,,,5,1,U.P. Yoddha
TACKLE STRIKE RATE,33.33 %,azad-singh,,,,,,40 %,0,U.P. Yoddha
MATCHES PLAYED,4,gulveer-singh,,,,,4,0,0,U.P. Yoddha
TOTAL POINTS EARNED,3,gulveer-singh,,,,,3,0,0,U.P. Yoddha
MOST POINTS IN A MATCH,2,gulveer-singh,,,,,2,0,0,U.P. Yoddha
NOT OUT %,12.5 %,gulveer-singh,,,,,12.5 %,0,0,U.P. Yoddha
TOTAL RAIDS,8,gulveer-singh,,,,,8,0,0,U.P. Yoddha
SUCCESSFUL RAIDS %,37.5,gulveer-singh,,,,,37.5,0,0,U.P. Yoddha
NO OF SUPER RAIDS,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
SUPER 10S,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
TOTAL RAID POINTS,3,gulveer-singh,,,,,3,0,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0.75,gulveer-singh,,,,,0.75,0,0,U.P. Yoddha
NO OF SUPER TACKLES,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
HIGH 5S,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
AVERAGE TACKLE / MATCH,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
TOTAL TACKLES,1,gulveer-singh,,,,,1,0,0,U.P. Yoddha
TACKLE STRIKE RATE,0,gulveer-singh,,,,,0,0,0,U.P. Yoddha
MATCHES PLAYED,3,masud-karim,,,,,,3,0,U.P. Yoddha
TOTAL POINTS EARNED,3,masud-karim,,,,,,3,0,U.P. Yoddha
MOST POINTS IN A MATCH,2,masud-karim,,,,,,2,0,U.P. Yoddha
NOT OUT %,50 %,masud-karim,,,,,,50 %,0,U.P. Yoddha
TOTAL RAIDS,4,masud-karim,,,,,,4,0,U.P. Yoddha
SUCCESSFUL RAIDS %,75,masud-karim,,,,,,75,0,U.P. Yoddha
NO OF SUPER RAIDS,0,masud-karim,,,,,,0,0,U.P. Yoddha
SUPER 10S,0,masud-karim,,,,,,0,0,U.P. Yoddha
TOTAL RAID POINTS,3,masud-karim,,,,,,3,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,1,masud-karim,,,,,,1,0,U.P. Yoddha
NO OF SUPER TACKLES,0,masud-karim,,,,,,0,0,U.P. Yoddha
HIGH 5S,0,masud-karim,,,,,,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,0,masud-karim,,,,,,0,0,U.P. Yoddha
AVERAGE TACKLE / MATCH,0,masud-karim,,,,,,0,0,U.P. Yoddha
TOTAL TACKLES,0,masud-karim,,,,,,0,0,U.P. Yoddha
TACKLE STRIKE RATE,0,masud-karim,,,,,,0,0,U.P. Yoddha
MATCHES PLAYED,68,monu-goyat,,,,13,26,20,9,U.P. Yoddha
TOTAL POINTS EARNED,475,monu-goyat,,,,63,202,164,46,U.P. Yoddha
MOST POINTS IN A MATCH,17,monu-goyat,,,,11,12,17,10,U.P. Yoddha
NOT OUT %,76.16 %,monu-goyat,,,,75.59 %,78.63 %,74.41 %,73.63 %,U.P. Yoddha
TOTAL RAIDS,944,monu-goyat,,,,168,365,301,110,U.P. Yoddha
SUCCESSFUL RAIDS %,47.98,monu-goyat,,,,35.11,52.32,53.15,39.09,U.P. Yoddha
NO OF SUPER RAIDS,7,monu-goyat,,,,0,4,3,0,U.P. Yoddha
SUPER 10S,20,monu-goyat,,,,0,9,10,1,U.P. Yoddha
TOTAL RAID POINTS,453,monu-goyat,,,,59,191,160,43,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,6.66,monu-goyat,,,,4.53,7.34,8,4.77,U.P. Yoddha
NO OF SUPER TACKLES,3,monu-goyat,,,,1,1,0,1,U.P. Yoddha
HIGH 5S,0,monu-goyat,,,,0,0,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,22,monu-goyat,,,,4,11,4,3,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.27,monu-goyat,,,,0.23,0.38,0.2,0.22,U.P. Yoddha
TOTAL TACKLES,85,monu-goyat,,,,13,35,27,10,U.P. Yoddha
TACKLE STRIKE RATE,25.88 %,monu-goyat,,,,30.76 %,31.42 %,14.81 %,30 %,U.P. Yoddha
MATCHES PLAYED,116,rishank-devadiga,16,13,16,14,21,23,13,U.P. Yoddha
TOTAL POINTS EARNED,640,rishank-devadiga,77,58,115,70,170,104,46,U.P. Yoddha
MOST POINTS IN A MATCH,28,rishank-devadiga,9,8,14,11,28,10,9,U.P. Yoddha
NOT OUT %,74.76 %,rishank-devadiga,65.57 %,67.5 %,74.45 %,70.21 %,75.73 %,79.77 %,83.6 %,U.P. Yoddha
TOTAL RAIDS,1256,rishank-devadiga,122,120,184,141,305,262,122,U.P. Yoddha
SUCCESSFUL RAIDS %,47.29,rishank-devadiga,52.45,36.66,57.6,49.64,54.09,38.16,36.88,U.P. Yoddha
NO OF SUPER RAIDS,25,rishank-devadiga,2,0,4,2,12,3,2,U.P. Yoddha
SUPER 10S,10,rishank-devadiga,0,0,2,2,5,1,0,U.P. Yoddha
TOTAL RAID POINTS,594,rishank-devadiga,64,44,106,70,165,100,45,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,5.12,rishank-devadiga,4,3.38,6.62,5,7.85,4.34,3.46,U.P. Yoddha
NO OF SUPER TACKLES,2,rishank-devadiga,0,0,1,0,1,0,0,U.P. Yoddha
HIGH 5S,0,rishank-devadiga,0,0,0,0,0,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,46,rishank-devadiga,13,14,9,0,5,4,1,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.37,rishank-devadiga,0.81,1.07,0.5,0,0.19,0.17,0.07,U.P. Yoddha
TOTAL TACKLES,142,rishank-devadiga,34,26,22,17,16,19,8,U.P. Yoddha
TACKLE STRIKE RATE,32.39 %,rishank-devadiga,38.23 %,53.84 %,40.9 %,0,31.25 %,21.05 %,12.5 %,U.P. Yoddha
MATCHES PLAYED,71,shrikant-jadhav,,0,5,5,19,25,17,U.P. Yoddha
TOTAL POINTS EARNED,367,shrikant-jadhav,,0,10,7,98,146,106,U.P. Yoddha
MOST POINTS IN A MATCH,17,shrikant-jadhav,,0,7,5,13,17,15,U.P. Yoddha
NOT OUT %,72.64 %,shrikant-jadhav,,0,57.14 %,68.75 %,74.7 %,70.48 %,77.02 %,U.P. Yoddha
TOTAL RAIDS,775,shrikant-jadhav,,0,35,16,170,332,222,U.P. Yoddha
SUCCESSFUL RAIDS %,44.77,shrikant-jadhav,,0,28.57,43.75,50.58,42.46,46.39,U.P. Yoddha
NO OF SUPER RAIDS,8,shrikant-jadhav,,0,0,0,2,4,2,U.P. Yoddha
SUPER 10S,9,shrikant-jadhav,,0,0,0,2,5,2,U.P. Yoddha
TOTAL RAID POINTS,347,shrikant-jadhav,,0,10,7,86,141,103,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,4.88,shrikant-jadhav,,0,2,1.4,4.52,5.64,6.05,U.P. Yoddha
NO OF SUPER TACKLES,3,shrikant-jadhav,,0,0,0,2,1,0,U.P. Yoddha
HIGH 5S,0,shrikant-jadhav,,0,0,0,0,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,20,shrikant-jadhav,,0,0,0,12,5,3,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.23,shrikant-jadhav,,0,0,0,0.52,0.16,0.17,U.P. Yoddha
TOTAL TACKLES,45,shrikant-jadhav,,0,1,3,22,11,8,U.P. Yoddha
TACKLE STRIKE RATE,44.44 %,shrikant-jadhav,,0,0,0,54.54 %,45.45 %,37.5 %,U.P. Yoddha
MATCHES PLAYED,14,surender-gill,,,,,,,14,U.P. Yoddha
TOTAL POINTS EARNED,55,surender-gill,,,,,,,55,U.P. Yoddha
MOST POINTS IN A MATCH,8,surender-gill,,,,,,,8,U.P. Yoddha
NOT OUT %,74.64 %,surender-gill,,,,,,,74.64 %,U.P. Yoddha
TOTAL RAIDS,142,surender-gill,,,,,,,142,U.P. Yoddha
SUCCESSFUL RAIDS %,33.09,surender-gill,,,,,,,33.09,U.P. Yoddha
NO OF SUPER RAIDS,0,surender-gill,,,,,,,0,U.P. Yoddha
SUPER 10S,0,surender-gill,,,,,,,0,U.P. Yoddha
TOTAL RAID POINTS,47,surender-gill,,,,,,,47,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,3.35,surender-gill,,,,,,,3.35,U.P. Yoddha
NO OF SUPER TACKLES,1,surender-gill,,,,,,,1,U.P. Yoddha
HIGH 5S,0,surender-gill,,,,,,,0,U.P. Yoddha
TOTAL TACKLE POINTS,8,surender-gill,,,,,,,8,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.5,surender-gill,,,,,,,0.5,U.P. Yoddha
TOTAL TACKLES,12,surender-gill,,,,,,,12,U.P. Yoddha
TACKLE STRIKE RATE,66.66 %,surender-gill,,,,,,,66.66 %,U.P. Yoddha
MATCHES PLAYED,48,surender-singh,,2,12,11,18,1,4,U.P. Yoddha
TOTAL POINTS EARNED,145,surender-singh,,8,45,11,70,0,11,U.P. Yoddha
MOST POINTS IN A MATCH,11,surender-singh,,6,9,3,11,0,5,U.P. Yoddha
NOT OUT %,69.37 %,surender-singh,,62.5 %,74.52 %,58.13 %,73.28 %,0,52.17 %,U.P. Yoddha
TOTAL RAIDS,320,surender-singh,,16,106,43,131,1,23,U.P. Yoddha
SUCCESSFUL RAIDS %,42.5,surender-singh,,31.25,41.5,20.93,51.9,0,43.47,U.P. Yoddha
NO OF SUPER RAIDS,4,surender-singh,,0,2,0,2,0,0,U.P. Yoddha
SUPER 10S,2,surender-singh,,0,0,0,2,0,0,U.P. Yoddha
TOTAL RAID POINTS,136,surender-singh,,5,44,9,68,0,10,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,2.83,surender-singh,,2.5,3.66,0.81,3.77,0,2.5,U.P. Yoddha
NO OF SUPER TACKLES,0,surender-singh,,0,0,0,0,0,0,U.P. Yoddha
HIGH 5S,0,surender-singh,,0,0,0,0,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,9,surender-singh,,3,1,2,2,0,1,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.18,surender-singh,,1.5,0.08,0.18,0.11,0,0.25,U.P. Yoddha
TOTAL TACKLES,53,surender-singh,,6,11,8,23,1,4,U.P. Yoddha
TACKLE STRIKE RATE,16.98 %,surender-singh,,50 %,9.09 %,25 %,8.69 %,0,25 %,U.P. Yoddha
MATCHES PLAYED,17,ashu-singh,,,,,,,17,U.P. Yoddha
TOTAL POINTS EARNED,31,ashu-singh,,,,,,,31,U.P. Yoddha
MOST POINTS IN A MATCH,4,ashu-singh,,,,,,,4,U.P. Yoddha
NOT OUT %,100 %,ashu-singh,,,,,,,100 %,U.P. Yoddha
TOTAL RAIDS,1,ashu-singh,,,,,,,1,U.P. Yoddha
SUCCESSFUL RAIDS %,0,ashu-singh,,,,,,,0,U.P. Yoddha
NO OF SUPER RAIDS,0,ashu-singh,,,,,,,0,U.P. Yoddha
SUPER 10S,0,ashu-singh,,,,,,,0,U.P. Yoddha
TOTAL RAID POINTS,0,ashu-singh,,,,,,,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0,ashu-singh,,,,,,,0,U.P. Yoddha
NO OF SUPER TACKLES,2,ashu-singh,,,,,,,2,U.P. Yoddha
HIGH 5S,0,ashu-singh,,,,,,,0,U.P. Yoddha
TOTAL TACKLE POINTS,31,ashu-singh,,,,,,,31,U.P. Yoddha
AVERAGE TACKLE / MATCH,1.7,ashu-singh,,,,,,,1.7,U.P. Yoddha
TOTAL TACKLES,74,ashu-singh,,,,,,,74,U.P. Yoddha
TACKLE STRIKE RATE,41.89 %,ashu-singh,,,,,,,41.89 %,U.P. Yoddha
MATCHES PLAYED,3,aashish-nagar,,,,,,3,0,U.P. Yoddha
TOTAL POINTS EARNED,1,aashish-nagar,,,,,,1,0,U.P. Yoddha
MOST POINTS IN A MATCH,1,aashish-nagar,,,,,,1,0,U.P. Yoddha
NOT OUT %,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
TOTAL RAIDS,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
SUCCESSFUL RAIDS %,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
NO OF SUPER RAIDS,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
SUPER 10S,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
TOTAL RAID POINTS,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
NO OF SUPER TACKLES,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
HIGH 5S,0,aashish-nagar,,,,,,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,1,aashish-nagar,,,,,,1,0,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.33,aashish-nagar,,,,,,0.33,0,U.P. Yoddha
TOTAL TACKLES,4,aashish-nagar,,,,,,4,0,U.P. Yoddha
TACKLE STRIKE RATE,25 %,aashish-nagar,,,,,,25 %,0,U.P. Yoddha
MATCHES PLAYED,31,amit,,,,,,14,17,U.P. Yoddha
TOTAL POINTS EARNED,30,amit,,,,,,6,24,U.P. Yoddha
MOST POINTS IN A MATCH,4,amit,,,,,,2,4,U.P. Yoddha
NOT OUT %,100 %,amit,,,,,,0,100 %,U.P. Yoddha
TOTAL RAIDS,14,amit,,,,,,0,14,U.P. Yoddha
SUCCESSFUL RAIDS %,14.28,amit,,,,,,0,14.28,U.P. Yoddha
NO OF SUPER RAIDS,0,amit,,,,,,0,0,U.P. Yoddha
SUPER 10S,0,amit,,,,,,0,0,U.P. Yoddha
TOTAL RAID POINTS,2,amit,,,,,,0,2,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0.06,amit,,,,,,0,0.11,U.P. Yoddha
NO OF SUPER TACKLES,3,amit,,,,,,1,2,U.P. Yoddha
HIGH 5S,0,amit,,,,,,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,28,amit,,,,,,6,22,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.8,amit,,,,,,0.35,1.17,U.P. Yoddha
TOTAL TACKLES,92,amit,,,,,,31,61,U.P. Yoddha
TACKLE STRIKE RATE,30.43 %,amit,,,,,,19.35 %,36.06 %,U.P. Yoddha
MATCHES PLAYED,17,sumit,,,,,,,17,U.P. Yoddha
TOTAL POINTS EARNED,60,sumit,,,,,,,60,U.P. Yoddha
MOST POINTS IN A MATCH,6,sumit,,,,,,,6,U.P. Yoddha
NOT OUT %,83.33 %,sumit,,,,,,,83.33 %,U.P. Yoddha
TOTAL RAIDS,6,sumit,,,,,,,6,U.P. Yoddha
SUCCESSFUL RAIDS %,33.33,sumit,,,,,,,33.33,U.P. Yoddha
NO OF SUPER RAIDS,0,sumit,,,,,,,0,U.P. Yoddha
SUPER 10S,0,sumit,,,,,,,0,U.P. Yoddha
TOTAL RAID POINTS,2,sumit,,,,,,,2,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0.11,sumit,,,,,,,0.11,U.P. Yoddha
NO OF SUPER TACKLES,0,sumit,,,,,,,0,U.P. Yoddha
HIGH 5S,5,sumit,,,,,,,5,U.P. Yoddha
TOTAL TACKLE POINTS,58,sumit,,,,,,,58,U.P. Yoddha
AVERAGE TACKLE / MATCH,3.41,sumit,,,,,,,3.41,U.P. Yoddha
TOTAL TACKLES,106,sumit,,,,,,,106,U.P. Yoddha
TACKLE STRIKE RATE,54.71 %,sumit,,,,,,,54.71 %,U.P. Yoddha
MATCHES PLAYED,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
TOTAL POINTS EARNED,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
MOST POINTS IN A MATCH,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
NOT OUT %,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
TOTAL RAIDS,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
SUCCESSFUL RAIDS %,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
NO OF SUPER RAIDS,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
SUPER 10S,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
TOTAL RAID POINTS,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
NO OF SUPER TACKLES,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
HIGH 5S,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
AVERAGE TACKLE / MATCH,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
TOTAL TACKLES,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
TACKLE STRIKE RATE,0,arkam-shaikh,,,,,,0,0,U.P. Yoddha
MATCHES PLAYED,2,gurdeep,,,,,,,2,U.P. Yoddha
TOTAL POINTS EARNED,2,gurdeep,,,,,,,2,U.P. Yoddha
MOST POINTS IN A MATCH,2,gurdeep,,,,,,,2,U.P. Yoddha
NOT OUT %,0,gurdeep,,,,,,,0,U.P. Yoddha
TOTAL RAIDS,0,gurdeep,,,,,,,0,U.P. Yoddha
SUCCESSFUL RAIDS %,0,gurdeep,,,,,,,0,U.P. Yoddha
NO OF SUPER RAIDS,0,gurdeep,,,,,,,0,U.P. Yoddha
SUPER 10S,0,gurdeep,,,,,,,0,U.P. Yoddha
TOTAL RAID POINTS,0,gurdeep,,,,,,,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0,gurdeep,,,,,,,0,U.P. Yoddha
NO OF SUPER TACKLES,0,gurdeep,,,,,,,0,U.P. Yoddha
HIGH 5S,0,gurdeep,,,,,,,0,U.P. Yoddha
TOTAL TACKLE POINTS,2,gurdeep,,,,,,,2,U.P. Yoddha
AVERAGE TACKLE / MATCH,1,gurdeep,,,,,,,1,U.P. Yoddha
TOTAL TACKLES,3,gurdeep,,,,,,,3,U.P. Yoddha
TACKLE STRIKE RATE,66.66 %,gurdeep,,,,,,,66.66 %,U.P. Yoddha
MATCHES PLAYED,45,mohsen-maghsoudlou,,,,,16,19,10,U.P. Yoddha
TOTAL POINTS EARNED,110,mohsen-maghsoudlou,,,,,47,56,7,U.P. Yoddha
MOST POINTS IN A MATCH,12,mohsen-maghsoudlou,,,,,12,7,2,U.P. Yoddha
NOT OUT %,74.77 %,mohsen-maghsoudlou,,,,,75.9 %,77.67 %,56.52 %,U.P. Yoddha
TOTAL RAIDS,218,mohsen-maghsoudlou,,,,,83,112,23,U.P. Yoddha
SUCCESSFUL RAIDS %,33.94,mohsen-maghsoudlou,,,,,49.39,25.89,17.39,U.P. Yoddha
NO OF SUPER RAIDS,2,mohsen-maghsoudlou,,,,,2,0,0,U.P. Yoddha
SUPER 10S,1,mohsen-maghsoudlou,,,,,1,0,0,U.P. Yoddha
TOTAL RAID POINTS,74,mohsen-maghsoudlou,,,,,41,29,4,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,1.64,mohsen-maghsoudlou,,,,,2.56,1.52,0.4,U.P. Yoddha
NO OF SUPER TACKLES,4,mohsen-maghsoudlou,,,,,1,2,1,U.P. Yoddha
HIGH 5S,0,mohsen-maghsoudlou,,,,,0,0,0,U.P. Yoddha
TOTAL TACKLE POINTS,36,mohsen-maghsoudlou,,,,,6,27,3,U.P. Yoddha
AVERAGE TACKLE / MATCH,0.71,mohsen-maghsoudlou,,,,,0.31,1.31,0.2,U.P. Yoddha
TOTAL TACKLES,76,mohsen-maghsoudlou,,,,,16,52,8,U.P. Yoddha
TACKLE STRIKE RATE,47.36 %,mohsen-maghsoudlou,,,,,37.5 %,51.92 %,37.5 %,U.P. Yoddha
MATCHES PLAYED,28,narender,,,,,,25,3,U.P. Yoddha
TOTAL POINTS EARNED,42,narender,,,,,,42,0,U.P. Yoddha
MOST POINTS IN A MATCH,5,narender,,,,,,5,0,U.P. Yoddha
NOT OUT %,0,narender,,,,,,0,0,U.P. Yoddha
TOTAL RAIDS,0,narender,,,,,,0,0,U.P. Yoddha
SUCCESSFUL RAIDS %,0,narender,,,,,,0,0,U.P. Yoddha
NO OF SUPER RAIDS,0,narender,,,,,,0,0,U.P. Yoddha
SUPER 10S,0,narender,,,,,,0,0,U.P. Yoddha
TOTAL RAID POINTS,0,narender,,,,,,0,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0,narender,,,,,,0,0,U.P. Yoddha
NO OF SUPER TACKLES,5,narender,,,,,,5,0,U.P. Yoddha
HIGH 5S,2,narender,,,,,,2,0,U.P. Yoddha
TOTAL TACKLE POINTS,42,narender,,,,,,42,0,U.P. Yoddha
AVERAGE TACKLE / MATCH,1.32,narender,,,,,,1.48,0,U.P. Yoddha
TOTAL TACKLES,126,narender,,,,,,119,7,U.P. Yoddha
TACKLE STRIKE RATE,33.33 %,narender,,,,,,35.29 %,0,U.P. Yoddha
MATCHES PLAYED,46,sachin-kumar,,0,0,,9,25,12,U.P. Yoddha
TOTAL POINTS EARNED,79,sachin-kumar,,0,0,,7,68,4,U.P. Yoddha
MOST POINTS IN A MATCH,7,sachin-kumar,,0,0,,5,7,2,U.P. Yoddha
NOT OUT %,84.54 %,sachin-kumar,,0,0,,71.42 %,84.26 %,92.85 %,U.P. Yoddha
TOTAL RAIDS,110,sachin-kumar,,0,0,,7,89,14,U.P. Yoddha
SUCCESSFUL RAIDS %,23.63,sachin-kumar,,0,0,,14.28,28.08,0,U.P. Yoddha
NO OF SUPER RAIDS,0,sachin-kumar,,0,0,,0,0,0,U.P. Yoddha
SUPER 10S,0,sachin-kumar,,0,0,,0,0,0,U.P. Yoddha
TOTAL RAID POINTS,26,sachin-kumar,,0,0,,1,25,0,U.P. Yoddha
AVERAGE RAID POINTS / MATCH,0.56,sachin-kumar,,0,0,,0.11,1,0,U.P. Yoddha
NO OF SUPER TACKLES,5,sachin-kumar,,0,0,,0,4,1,U.P. Yoddha
HIGH 5S,3,sachin-kumar,,0,0,,1,2,0,U.P. Yoddha
TOTAL TACKLE POINTS,53,sachin-kumar,,0,0,,6,43,4,U.P. Yoddha
AVERAGE TACKLE / MATCH,1.04,sachin-kumar,,0,0,,0.66,1.56,0.25,U.P. Yoddha
TOTAL TACKLES,136,sachin-kumar,,0,0,,24,101,11,U.P. Yoddha
TACKLE STRIKE RATE,38.97 %,sachin-kumar,,0,0,,25 %,42.57 %,36.36 %,U.P. Yoddha
